step,simulation_time,real_time,px,py,pz,vx,vy,vz,stiffness
96,0.19200000911951065,0.735407829284668,-5.0289688857674264e-08,7.860685968807957e-07,123.56759643554688,-5.784056011925998e-10,4.2003517108923916e-08,12.633163452148438,18315.819522096794
97,0.19400000921450555,0.7555205821990967,-5.3934098076524606e-08,7.795745773364615e-07,123.59056854248047,-6.479362046896142e-10,3.318809405072898e-08,11.889829635620117,19353.409267934752
98,0.19600000930950046,0.7613513469696045,-5.76852841049913e-08,7.730212132628367e-07,123.61203002929688,-6.941725527731535e-10,2.9706271220675262e-08,11.12253189086914,20434.921053677142
99,0.19800000940449536,0.7668502330780029,-6.15425150840565e-08,7.664872327950434e-07,123.63192749023438,-6.32820351675889e-10,3.598088582634773e-08,10.333422660827637,21551.499182903834
100,0.20000000949949026,0.7722535133361816,-6.550460085463783e-08,7.599508649036579e-07,123.65023040771484,-6.563867227526998e-10,3.58701512936932e-08,9.526205062866211,22692.044208157775
101,0.20200000959448516,0.7774643898010254,-6.957064613288821e-08,7.534350743299001e-07,123.66690063476562,-5.369146238720646e-10,4.3051002762695134e-08,8.704154968261719,23841.214851898207
102,0.20400000968948007,0.7821106910705566,-7.374048749397843e-08,7.469217280231533e-07,123.68191528320312,-6.294061938305617e-10,3.450749375133455e-08,7.870139122009277,24980.646364563603
103,0.20600000978447497,0.7867898941040039,-7.801418888675471e-08,7.404305506497622e-07,123.69525146484375,-5.653496559787641e-10,4.0488426833462654e-08,7.0296173095703125,26088.081562262236
104,0.20800000987946987,0.7921583652496338,-8.23916224135246e-08,7.339679086726392e-07,123.7069091796875,-6.359858195637003e-10,3.4066317766701104e-08,6.191764831542969,27139.809403197723
105,0.21000000997446477,0.8197612762451172,-8.687212726954385e-08,7.275247071447666e-07,123.7169189453125,-6.269764152300183e-10,3.015952998453031e-08,5.370320796966553,28112.955889587316
106,0.21200001006945968,0.8253316879272461,-9.145438895075131e-08,7.211111210381205e-07,123.72531127929688,-6.203310087826708e-10,3.381128266255473e-08,4.564992904663086,28984.307016060862
107,0.21400001016445458,0.8300051689147949,-9.613766138727442e-08,7.14696057002584e-07,123.73211669921875,-6.386190465335062e-10,3.217760635720879e-08,3.7745065689086914,29731.575698017226
108,0.21600001025944948,0.8360753059387207,-1.0092175273257453e-07,7.083079935910064e-07,123.73735809326172,-6.387605999691459e-10,3.702069761857274e-08,2.9979748725891113,30333.90510453835
109,0.21800001035444438,0.842811107635498,-1.0580652087810449e-07,7.019240797490056e-07,123.7410659790039,-6.244956773926447e-10,3.4336014920199887e-08,2.2354159355163574,30774.960538519073
110,0.2200000104494393,0.8476877212524414,-1.107920155618558e-07,6.955655180718168e-07,123.7432632446289,-7.32291283167541e-10,5.0194991274565837e-08,1.4864877462387085,31042.431602136585
111,0.2220000105444342,0.8525049686431885,-1.1587850679006806e-07,6.892645956213528e-07,123.74398040771484,-6.430015409009116e-10,3.60350043138169e-08,0.7517049312591553,31130.74042913779
112,0.2240000106394291,0.85774827003479,-1.2106571034564695e-07,6.830298389104428e-07,123.74324798583984,-4.0041459037354343e-10,6.189222290231555e-08,0.03175687789916992,31040.55813392076
113,0.226000010734424,0.8776392936706543,-1.263523330408134e-07,6.768453317818057e-07,123.7410888671875,-6.264982976844635e-10,3.429346762118257e-08,-0.6724238395690918,30777.72293698761
114,0.2280000108294189,0.8831586837768555,-1.3173784907394293e-07,6.707008992634655e-07,123.73754119873047,-6.20254236860518e-10,3.4185948294407353e-08,-1.359813928604126,30355.38867412282
115,0.2300000109244138,0.8879272937774658,-1.3722153369144507e-07,6.645982466579881e-07,123.73263549804688,-6.484519032845526e-10,3.2588868492666734e-08,-2.028806209564209,29790.126151172895
116,0.2320000110194087,0.8932876586914062,-1.428018521210106e-07,6.585597702724044e-07,123.7264175415039,-6.272702357534854e-10,3.1887353202364466e-08,-2.6780996322631836,29103.212788230303
117,0.2340000111144036,0.8986520767211914,-1.484774969640057e-07,6.525611411234422e-07,123.71891784667969,-6.187081957875762e-10,3.425455474825867e-08,-3.307162284851074,28315.70843426558
118,0.2360000112093985,0.9035089015960693,-1.5424687660470227e-07,6.466236186497554e-07,123.71018981933594,-6.113449746436572e-10,3.742176346577253e-08,-3.91379714012146,27451.24508966695
119,0.2380000113043934,0.9079999923706055,-1.6010871206617594e-07,6.407667001440132e-07,123.70026397705078,-6.45140163513247e-10,3.503821588424216e-08,-4.497683048248291,26530.138395275062
120,0.2400000113993883,0.9126946926116943,-1.660625201793664e-07,6.349768568725267e-07,123.68920135498047,-6.594263468606698e-10,3.663892655936252e-08,-5.056245803833008,25573.7527285384
121,0.24200001149438322,0.9328830242156982,-1.7210790304034163e-07,6.292560215115373e-07,123.67704772949219,-6.398340191005047e-10,3.503378920299838e-08,-5.588842391967773,24599.50870480199
122,0.24400001158937812,0.937608003616333,-1.782437237807244e-07,6.235728733372525e-07,123.66384887695312,-4.0908304521636296e-10,6.144123432250126e-08,-6.0945281982421875,23622.216874110134
123,0.24600001168437302,0.9426426887512207,-1.8446930027948838e-07,6.179300271469401e-07,123.64967346191406,-6.489265791387311e-10,3.656703739807199e-08,-6.573190689086914,22655.560214959034
124,0.24800001177936792,0.9485287666320801,-1.9078382251791481e-07,6.123292450865847e-07,123.63455963134766,-6.464902502223424e-10,3.549768479160775e-08,-7.024890899658203,21708.41101614435
125,0.2500000118743628,0.9535102844238281,-1.971861678384812e-07,6.068026436878426e-07,123.61857604980469,-6.853562162234539e-10,3.434267625834764e-08,-7.447023391723633,20789.269523039613
126,0.25200001196935773,0.9584426879882812,-2.0367448883007455e-07,6.013291908857354e-07,123.60177612304688,-6.819609876806965e-10,3.870422560225961e-08,-7.839372158050537,19903.50713981657
127,0.25400001206435263,0.9632422924041748,-2.1024820284765156e-07,5.95905248701456e-07,123.58422088623047,-6.611907688025553e-10,3.4939461102112546e-08,-8.20145320892334,19055.129503732656
128,0.25600001215934753,0.9682512283325195,-2.1690678408958775e-07,5.905239390813222e-07,123.56597137451172,-6.906055172173353e-10,3.95169799105588e-08,-8.532675743103027,18246.61740133038
129,0.25800001225434244,0.9889533519744873,-2.236491809526342e-07,5.851502464793157e-07,123.54708862304688,-6.943459140984487e-10,3.8476926533803635e-08,-8.831984519958496,17479.23629566695
130,0.26000001234933734,0.9937188625335693,-2.3047542185850034e-07,5.797905942017678e-07,123.52764129638672,-5.740786179764257e-10,4.8162352328517954e-08,-9.09900951385498,16753.579960585677
131,0.26200001244433224,0.998551607131958,-2.373851515358183e-07,5.744508939642401e-07,123.50769805908203,-7.052212147584669e-10,4.031040390373164e-08,-9.333467483520508,16069.439895021325
132,0.26400001253932714,1.003340482711792,-2.4437733259219385e-07,5.691080104952562e-07,123.48731231689453,-7.659308742802295e-10,3.320204555734563e-08,-9.536090850830078,15425.553812701508
133,0.26600001263432205,1.0087170600891113,-2.5145209292531945e-07,5.637625122290046e-07,123.466552734375,-7.121277456612063e-10,3.8472901309205554e-08,-9.70573902130127,14820.808806155086
134,0.26800001272931695,1.0137231349945068,-2.586084235645103e-07,5.584184918916435e-07,123.44548797607422,-7.40466077342461e-10,3.898032474580759e-08,-9.842354774475098,14253.787132622945
135,0.27000001282431185,1.0188877582550049,-2.6584606871438154e-07,5.530500857275911e-07,123.42418670654297,-7.689660019849498e-10,4.400569864060344e-08,-9.94614028930664,13722.87591883563
136,0.27200001291930676,1.0236468315124512,-2.7316434625390684e-07,5.476910587276507e-07,123.4027099609375,-5.44634892740703e-10,2.107487873104219e-08,-10.017448425292969,13226.181705968576
137,0.27400001301430166,1.0454394817352295,-2.805617782541958e-07,5.42319469332142e-07,123.38111877441406,-7.415709712965679e-10,3.8770501475937635e-08,-10.056825637817383,12761.81152300134
